,CUST_ID,ACCT_ID
0,39697816,2265871694
1,39697816,4567905843
2,39697816,4211888405
3,39697816,3241956117
4,39697816,5170732060
5,39697816,8648357885
6,79657263,5319933640
7,79657263,3629733703
8,63334672,8965513858
9,63334672,3842340517
10,63334672,4976416488
11,63334672,4078740109
12,63334672,4397349329
13,63334672,5602118164
14,10588385,8054486328
15,10588385,7592020666
16,10588385,9439356351
17,67122904,7396205584
18,67122904,7971653079
19,39868635,9628017867
20,39868635,9621631052
21,39868635,2377216827
22,39868635,9241585372
23,39868635,5042923389
24,23547638,9730811522
25,23547638,7721318674
26,23547638,5875698163
27,23547638,5071089751
28,23547638,5203124154
29,23547638,6009053469
30,30430600,1944586725
31,30430600,6648714303
32,63919898,3984958274
33,63919898,6143702417
34,63919898,6898251378
35,63919898,2483696179
36,63919898,3629011925
37,59565761,6832840737
38,59565761,8964653067
39,59565761,6438149572
40,59565761,5040570446
41,67489154,7417144640
42,67489154,3146821115
43,67489154,8492388028
44,67489154,9963682744
45,71272324,2491055651
46,71272324,2995561508
47,71272324,9571809028
48,71272324,8738920374
49,71272324,5279733149
50,78010000,8210604746
51,78010000,5853480458
52,78010000,7435210227
53,48609838,1239512545
54,48609838,5363599831
55,48609838,1263311503
56,88814333,4464756848
57,88814333,5715547381
58,88814333,2318136266
59,88814333,6190945573
60,68241313,1011374210
61,68241313,1167477410
62,68241313,4143657672
63,68241313,3641073805
64,68241313,1397093517
65,68241313,8583221392
66,68241313,6407257530
67,68241313,1773161978
68,26311599,6566765842
69,26311599,6456813475
70,26311599,7879087919
71,91758145,5084579202
72,91758145,9187558420
73,91758145,2939761365
74,91758145,9215723868
75,91758145,2634331133
76,91758145,5376082047
77,90243232,1474151745
78,90243232,4767335598
79,90243232,7725617204
80,90243232,3094403194
81,90243232,8255201628
82,79413206,1397016320
83,79413206,4865616456
84,79413206,4588222190
85,79413206,8689387728
86,79413206,1705799474
87,19450442,2925994506
88,19450442,5677840181
89,19450442,6930449526
90,19450442,2091806203
91,19450442,4460877720
92,19450442,4171000187
93,19450442,4303028732
94,19450442,4728725502
95,19450442,6207399487
96,26766981,2754622940
97,26766981,6852264870
98,54971133,8724235904
99,54971133,9019187723
100,54971133,5006308347
101,54971133,6688641740
102,45460414,8486257029
103,45460414,3964307529
104,45460414,2245896591
105,45460414,4676837719
106,45460414,1332634014
107,82581685,3161795587
108,82581685,8588249222
109,82581685,8675908460
110,82581685,8429154382
111,82581685,8714107088
112,82581685,9265106677
113,83485314,6402339491
114,83485314,4650419276
115,83485314,1255234573
116,83485314,3468017425
117,83485314,2500814037
118,83485314,3438063286
119,83485314,5230792217
120,59183446,5029226944
121,59183446,6048914372
122,59183446,8458942373
123,59183446,2057737879
124,67215847,6391252672
125,67215847,5789138952
126,67215847,3256983756
127,67215847,6562136014
128,67215847,7880208336
129,83416689,4751279840
130,83416689,5111161498
131,83416689,1935916060
132,83416689,2510063263
133,74033341,2250835654
134,74033341,6335070380
135,74033341,2905559756
136,74033341,3387248142
137,74033341,4812186876
138,83488755,4297658337
139,83488755,7298336934
140,83488755,7943897416
141,83488755,7232792752
142,83488755,8835952018
143,83488755,6811728830
144,61502274,8772505184
145,61502274,8093876265
146,61502274,5610579147
147,61502274,7086870219
148,61502274,7038366256
149,66161247,2471002219
150,66161247,8494895459
151,66161247,6771309399
152,21002066,6595363555
153,21002066,7819379079
154,21002066,7998896456
155,21002066,8223453328
156,21002066,4909592726
157,21002066,8583903576
158,21002066,3212576956
159,34022503,8284290985
160,34022503,6277083027
161,34022503,8000123876
162,58567309,8005887395
163,28344752,9853062609
164,28344752,6787150171
165,28344752,7221284868
166,28344752,4733709358
167,73665389,4571206872
168,73665389,3657319161
169,73665389,9844923515
170,73665389,9916349604
171,53309348,4339073771
172,53309348,7923579762
173,53309348,4136620404
174,53309348,9236211733
175,53309348,3520895615
176,62696237,6133579840
177,62696237,2974781120
178,62696237,7746958374
179,62696237,2959276375
180,71995236,1184255244
181,71995236,6161252909
182,30469346,7327799889
183,30469346,1620123514
184,30469346,7121368142
185,75063772,4796557670
186,75063772,1310299947
187,75063772,4548356414
188,79681405,1355841888
189,79681405,1008920187
190,79681405,2219600045
191,42618104,5782449091
192,42618104,6295420932
193,42618104,1281499752
194,42618104,9378161931
195,42618104,4128742540
196,42618104,9742119887
197,42618104,3071998132
198,15903509,3576487776
199,15903509,2797481871
200,15903509,1864031859
201,15903509,7180438965
202,15903509,8579519610
203,15903509,2395082814
204,15221950,9615565795
205,15221950,4214662502
206,15221950,7435818479
207,15221950,1916609552
208,15221950,1721639672
209,15221950,2128615481
210,15221950,8633980573
211,15221950,3240704062
212,56268445,2489558438
213,56268445,1914504727
214,86011762,2024919728
215,86011762,7317600451
216,86011762,4484145780
217,86011762,7259430989
218,12479651,5009669475
219,84439408,2096234371
220,84439408,3773253419
221,84439408,8899170933
222,84439408,6922142454
223,84439408,7199997079
224,84439408,4664836597
225,84439408,7964971962
226,84354692,8432139144
227,84354692,3825182892
228,84354692,1412072175
229,84354692,5570374674
230,84354692,6820456375
231,59317592,5309693173
232,11202575,9119836064
233,11202575,7677178153
234,11202575,7980602876
235,11202575,2001329468
236,47421229,7794208737
237,47421229,7278140898
238,47421229,8058192394
239,47421229,2726747802
240,47421229,2230519419
241,30979742,9216333986
242,30979742,9190309576
243,30979742,1018117389
244,30979742,9349898766
245,30979742,1737991345
246,57877427,7402887459
247,57877427,7528656754
248,57877427,4078378743
249,57877427,9889186394
250,57877427,3204291259
251,57877427,9952016252
252,81440267,9495369824
253,81440267,2493146242
254,81440267,2715109222
255,81440267,2233331916
256,81440267,3416021008
257,81440267,4232351667
258,81440267,6086972632
259,31424650,2513061664
260,31424650,5945505651
261,31424650,4584479643
262,31424650,6201340060
263,31424650,5357377116
264,74205513,8113701122
265,74205513,5653820619
266,74205513,8425930284
267,74205513,7429812024
268,74205513,9347653404
269,20337142,1824896726
270,20337142,6659877030
271,35001996,4453212752
272,35001996,6761332557
273,35001996,3473037061
274,32580874,3195698961
275,32580874,4362215329
276,32580874,7571196293
277,32580874,2738795998
278,76499889,1281632737
279,76499889,9063851722
280,76499889,2048862508
281,76499889,1657816272
282,76499889,7248853872
283,43346911,8001163875
284,43346911,6026416807
285,43346911,2038026349
286,43346911,9256286509
287,43346911,8422425558
288,43346911,2383871768
289,43346911,6826071134
290,43346911,1883679775
291,10214794,5257870242
292,10214794,2638654398
293,10214794,1156464846
294,13350873,9531405960
295,13350873,3089923329
296,13350873,1254629411
297,13350873,8343523829
298,15175537,8886313738
299,15175537,7180975666
300,15175537,3400295935
301,21751281,5373667309
302,19784277,4328656860
303,11788182,8961253837
304,11788182,4580782417
305,11788182,8323528343
306,11788182,6435094617
307,11788182,8110531293
308,59353065,9080018340
309,59353065,4164863660
310,59353065,6781650445
311,59353065,8467708911
312,59353065,1893773241
313,87019596,9554457073
314,46338041,2019203201
315,46338041,9726812637
316,46338041,2242315854
317,51825454,9742800000
318,51825454,8226313713
319,51825454,7565756636
320,51825454,7460705445
321,89613400,7309322304
322,89613400,7818478581
323,89613400,9008609461
324,14393352,3013783232
325,14393352,2243999937
326,14393352,9028116832
327,14393352,2061351722
328,14393352,4815177483
329,14393352,6873726461
330,67546356,1161231152
331,67546356,1704367921
332,67546356,9955276164
333,94004270,6070845410
334,94004270,6200560587
335,94004270,1788202212
336,94052758,1853911693
337,94052758,9220062765
338,94052758,6018167472
339,94052758,9778560144
340,94052758,4041746996
341,94052758,4501151838
342,74767464,3759064647
343,74767464,5436805195
344,74767464,7641717431
345,74767464,6416941851
346,74767464,3717848829
347,58268039,8546057408
348,58268039,6187489949
349,92329711,9305745776
350,92329711,7907100284
351,92329711,9327117516
352,92329711,8281220712
353,34791594,1169499040
354,34791594,3704528488
355,34791594,1445251380
356,34791594,5552446229
357,34791594,1008764252
358,36421169,8072409346
359,36421169,2004729801
360,36421169,2785220972
361,36421169,7515826772
362,36421169,2640584375
363,36421169,1911795613
364,50938472,5892495106
365,50938472,7991240627
366,50938472,1890477090
367,50938472,3128790071
368,52728110,2830962375
369,52728110,5264857191
370,52728110,1526045004
371,52728110,9751280272
372,52728110,6175141338
373,52728110,1296836348
374,44677408,7525924225
375,44677408,7276536100
376,44677408,8614774472
377,44677408,9107537548
378,44677408,6279220851
379,44677408,7267488215
380,37151833,3908269472
381,37151833,4258231563
382,37151833,8551158877
383,37151833,8289332533
384,34153591,6640130412
385,34153591,8687939825
386,34153591,3711239660
387,34153591,4099178287
388,76662585,8981351947
389,76662585,1374495918
390,76662585,5251568877
391,76662585,4859680278
392,83381617,4152522817
393,83381617,2481291564
394,83381617,9371572627
395,83381617,5007273270
396,83381617,3427248731
397,83381617,2915812670
398,72893487,1556902371
399,72893487,3408076073
400,72893487,9856669002
401,72893487,8109572017
402,72893487,6081618930
403,72893487,5538454233
404,16618164,9616359207
405,16618164,1478044942
406,16618164,9695512817
407,16618164,1717502291
408,16618164,9196188916
409,16618164,5547507032
410,77996562,2728591430
411,77996562,3770469310
412,77996562,3899080687
413,93753492,5443529509
414,93753492,9049199558
415,79127793,8922258720
416,79127793,7530448002
417,79127793,5564483763
418,47662568,2664337552
419,47662568,4804109826
420,47662568,3114573741
421,47662568,5206866407
422,29226430,7041718275
423,29226430,2107173859
424,29226430,7661339398
425,85720778,3127844354
426,85720778,2502267380
427,85720778,3849539301
428,85720778,7915318324
429,75403506,8868073705
430,75403506,3916567790
431,75403506,9698794416
432,75403506,7459037979
433,75403506,7217256478
434,16091868,7549584721
435,16091868,7163446514
436,16091868,8323642083
437,67347382,2654151714
438,67347382,6765459244
439,67347382,8828935759
440,67347382,4895034544
441,67347382,6692525566
442,36306048,7907838558
443,36306048,8447526730
444,36306048,3376264014
445,36306048,2327708879
446,10218381,7518022048
447,10218381,4275920712
448,10218381,4135586409
449,10218381,5643981611
450,10218381,6657224630
451,10218381,9831306711
452,79415521,6637638073
453,79415521,6595244338
454,79415521,9040953972
455,79415521,4561935685
456,68060437,7568986417
457,68060437,8866448817
458,68060437,3022234893
459,68060437,3800667295
460,20427915,3911824913
461,20427915,9664190786
462,20427915,7909747710
463,20427915,1116032014
464,37700345,1405835432
465,37700345,1088524411
466,37700345,5257081294
467,37700345,2683896955
468,37700345,5587442460
469,23002415,5378742328
470,23002415,3041659009
471,23002415,9806388338
472,23002415,9811221471
473,47258823,1868150498
474,47258823,7276551119
475,47258823,4030672911
476,47258823,2282938003
477,47258823,3206271544
478,57347768,2129389194
479,57347768,5696156523
480,19815276,9703841632
481,19815276,4426107169
482,19815276,5174142869
483,40942824,5626035870
484,40942824,6498442900
485,40942824,9170216966
486,40942824,2615738204
487,74924057,2589579000
488,74924057,5424891379
489,74924057,6295339892
490,95281520,4199413480
491,95281520,7414537538
492,95281520,1455739772
493,95281520,4617400205
494,95649090,9180064324
495,95649090,9203760139
496,95649090,1199815534
497,95649090,5756905490
498,95649090,2712757492
499,95649090,8518307638
500,95649090,3554841822
501,95649090,3939327455
502,24118859,9335669761
503,24118859,1869663618
504,24118859,5698067403
505,24118859,2871812868
506,88771837,1305842104
507,88771837,1111394827
508,44325700,8114230336
509,44325700,5813364225
510,44325700,7748837187
511,44325700,1193494979
512,44325700,1347163207
513,44325700,7406827853
514,44325700,1111182481
515,41822004,3236153702
516,41822004,3038784949
517,41822004,8538563598
518,46717528,8309484517
519,46717528,8706534250
520,46717528,1518128462
521,46717528,1213673108
522,46717528,8296794301
523,48753739,1545710063
524,48753739,8498202573
525,48753739,7179542910
526,48753739,9273237895
527,91075172,6556784833
528,91075172,5270529926
529,91075172,5534700231
530,91075172,2814258541
531,91075172,6814551029
532,58913703,2675287420
533,58913703,3721447018
534,58913703,1393120546
535,58913703,6111231069
536,15549896,1069202419
537,15549896,8912715483
538,15549896,3389087935
539,38617373,8948027322
540,38617373,9028087260
541,38617373,7208411679
542,98683349,6524424552
543,98683349,1620517826
544,98683349,2627234506
545,98683349,7459162654
546,89927286,5963578467
547,89927286,4953703146
548,89927286,4278365968
549,89927286,3637646001
550,89927286,6041225077
551,16288860,6738729281
552,16288860,5662790798
553,23255983,7356099783
554,23255983,7319547788
555,23255983,1941051407
556,23255983,4353416849
557,23255983,5521353049
558,23255983,7886451678
559,96854259,7497596749
560,96854259,5972581460
561,96854259,2170674964
562,96854259,1304461766
563,14885727,1193360752
564,14885727,7222821575
565,14885727,5260892469
566,14885727,7161387839
567,84125654,2084865864
568,84125654,1291983538
569,84125654,3930079997
570,72740964,8614498941
571,72740964,2578606536
572,72740964,4917418185
573,72740964,5482850773
574,72740964,4793851549
575,86200542,8736495489
576,86200542,2099268930
577,86200542,5363318601
578,86200542,9521644297
579,86200542,4842774642
580,86200542,6558709460
581,86200542,2935296536
582,86200542,2836562591
583,36797620,1282666547
584,36797620,5563188334
585,36797620,1352269955
586,36797620,1298768091
587,98347778,2821072648
588,18841320,3046361360
589,18841320,1530814218
590,18841320,1798182844
591,18841320,2653608015
592,75328568,7789834008
593,75328568,3678987994
594,75328568,4684174634
595,75328568,6950032231
596,30292777,1999451928
597,30292777,5190582021
598,30292777,5602197351
599,53559407,4919787717
600,53559407,4107173416
601,53559407,7780599272
602,53559407,3769837715
603,53559407,6441111125
604,78706428,6469838695
605,78706428,9864601941
606,78706428,6043421438
607,78706428,4158921055
608,61584526,1238025088
609,61584526,3768515491
610,61584526,9980445738
611,61584526,8286790640
612,61584526,4256905106
613,61584526,7882059099
614,50194227,6721624758
615,50194227,2850306038
616,50194227,7939935577
617,50194227,6624112634
618,50194227,7535478135
619,23114588,3959272042
620,23114588,1638330292
621,23114588,2668803545
